0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-0.005,-0.005,-0.005,-0.005,-0.010
0.045,0.045,0.045,0.045,0.090
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
-0.005,-0.005,-0.005,-0.005,-0.010
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
-0.010,-0.010,-0.010,-0.010,-0.020
0.039,0.039,0.039,0.039,0.078
-0.010,-0.010,-0.010,-0.010,-0.020
0.040,0.040,0.040,0.040,0.080
-0.010,-0.010,-0.010,-0.010,-0.020
-0.010,-0.010,-0.010,-0.010,-0.020
-0.010,-0.010,-0.010,-0.010,-0.020
-0.010,-0.010,-0.010,-0.010,-0.020
-0.010,-0.010,-0.010,-0.010,-0.020
-0.010,-0.010,-0.010,-0.010,-0.020
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
-0.015,-0.015,-0.015,-0.015,-0.029
0.033,0.033,0.033,0.033,0.066
-0.015,-0.015,-0.015,-0.015,-0.029
0.034,0.034,0.034,0.034,0.069
-0.015,-0.015,-0.015,-0.015,-0.029
-0.015,-0.015,-0.015,-0.015,-0.029
-0.015,-0.015,-0.015,-0.015,-0.029
-0.015,-0.015,-0.015,-0.015,-0.029
-0.015,-0.015,-0.015,-0.015,-0.029
0.035,0.035,0.035,0.035,0.071
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
-0.019,-0.019,-0.019,-0.019,-0.039
0.028,0.028,0.028,0.028,0.055
-0.019,-0.019,-0.019,-0.019,-0.039
0.029,0.029,0.029,0.029,0.057
-0.019,-0.019,-0.019,-0.019,-0.039
-0.019,-0.019,-0.019,-0.019,-0.039
-0.019,-0.019,-0.019,-0.019,-0.039
0.031,0.031,0.031,0.031,0.061
-0.019,-0.019,-0.019,-0.019,-0.039
0.030,0.030,0.030,0.030,0.059
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.001
-0.024,-0.024,-0.024,-0.024,-0.048
0.022,0.022,0.022,0.022,0.044
-0.024,-0.024,-0.024,-0.024,-0.048
0.023,0.023,0.023,0.023,0.046
-0.024,-0.024,-0.024,-0.024,-0.048
-0.024,-0.024,-0.024,-0.024,-0.048
0.026,0.026,0.026,0.026,0.052
0.025,0.025,0.025,0.025,0.050
-0.024,-0.024,-0.024,-0.024,-0.048
0.024,0.024,0.024,0.024,0.048
0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002
0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002
0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002
0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002
-0.028,-0.028,-0.028,-0.028,-0.057
0.017,0.017,0.017,0.017,0.033
-0.028,-0.028,-0.028,-0.028,-0.057
0.018,0.018,0.018,0.018,0.035
-0.028,-0.028,-0.028,-0.028,-0.057
-0.028,-0.028,-0.028,-0.028,-0.057
0.020,0.020,0.020,0.020,0.041
0.019,0.019,0.019,0.019,0.039
0.021,0.021,0.021,0.021,0.043
0.019,0.019,0.019,0.019,0.037
